Individual_ID	Phenotype	Substrate
1	forsmani	pebble
2	forsmani	pebble
3	forsmani	pebble
4	forsmani	pebble
5	forsmani	pebble
6	forsmani	pebble
7	forsmani	pebble
8	forsmani	pebble
9	forsmani	pebble
10	forsmani	pebble
11	forsmani	pebble
12	forsmani	pebble
13	forsmani	pebble
14	forsmani	pebble
15	forsmani	pebble
16	forsmani	ascophyllum
17	praehirsuta	pebble
18	praehirsuta	ascophyllum
19	praehirsuta	ascophyllum
20	praehirsuta	ascophyllum
21	praehirsuta	ascophyllum
22	praehirsuta	ascophyllum
23	praehirsuta	ascophyllum
24	praehirsuta	ascophyllum
25	praehirsuta	ascophyllum
26	praehirsuta	ascophyllum
27	praehirsuta	ascophyllum
28	praehirsuta	ascophyllum
29	praehirsuta	ascophyllum
30	praehirsuta	ascophyllum
31	praehirsuta	ascophyllum
32	praehirsuta	ascophyllum
33	praehirsuta	ascophyllum
34	praehirsuta	ascophyllum
35	praehirsuta	ascophyllum
36	praehirsuta	ascophyllum
37	praehirsuta	ascophyllum
38	praehirsuta	ascophyllum
39	praehirsuta	ascophyllum
40	praehirsuta	ascophyllum
41	praehirsuta	ascophyllum
42	praehirsuta	ascophyllum
43	praehirsuta	ascophyllum
44	praehirsuta	ascophyllum
45	praehirsuta	ascophyllum
46	praehirsuta	ascophyllum
47	praehirsuta	ascophyllum
48	praehirsuta	ascophyllum
49	praehirsuta	ascophyllum
50	praehirsuta	ascophyllum
51	praehirsuta	ascophyllum
52	praehirsuta	ascophyllum
53	praehirsuta	ascophyllum
54	praehirsuta	ascophyllum
55	praehirsuta	ascophyllum
56	praehirsuta	ascophyllum
57	praehirsuta	ascophyllum
58	praehirsuta	ascophyllum
59	praehirsuta	ascophyllum
60	praehirsuta	ascophyllum
61	praehirsuta	ascophyllum
62	praehirsuta	ascophyllum
63	praehirsuta	ascophyllum
64	praehirsuta	ascophyllum
65	praehirsuta	ascophyllum
66	praehirsuta	ascophyllum
67	praehirsuta	ascophyllum
68	praehirsuta	ascophyllum
69	praehirsuta	ascophyllum
70	praehirsuta	ascophyllum
71	praehirsuta	ascophyllum
72	praehirsuta	ascophyllum
73	praehirsuta	ascophyllum
74	praehirsuta	ascophyllum
75	praehirsuta	ascophyllum
76	praehirsuta	ascophyllum
77	praehirsuta	ascophyllum
78	praehirsuta	ascophyllum
79	praehirsuta	ascophyllum
