label	GM	isolation_date	sex	species	Photo_ID
PP1-2	GM1-1	25/03/2024	F	forsmani	DSC_003-DSC_010
PP1-3	GM1-1	25/03/2024	F	forsmani	DSC_010-DSC_012
PP2-6	GM1-3	25/03/2024	F	forsmani	DSC_032-DSC_033
PP3-3	GM3-1	25/03/2024	F	forsmani	DSC_043-DSC044
PP3-6	GM3-1	25/03/2024	F	forsmani	DSC_045-DSC046
PP4-5	GM3-2	25/03/2024	M	forsmani	DSC_057-DSC_058
PP4-6	GM3-2	25/03/2024	M	forsmani	DSC_059-DSC_060
PP6-3	GM4-6	25/03/2024	F	forsmani	DSC_077-DSC_078
PP6-6	GM4-6	25/03/2024	F	forsmani	DSC_081-DSC_083
PP7-4	GM6-2	25/03/2024	F	forsmani	DSC_092-DSC_093
PP7-5	GM6-2	25/03/2024	F	forsmani	DSC_097-DSC_098
PP8-2	GM8-1	25/03/2024	F	forsmani	DSC_103-DSC_104
PP8-3	GM8-1	25/03/2024	F	forsmani	DSC_105-DSC_107
PP9-2	GM8-3	25/03/2024	M	forsmani	DSC_117-DSC_118
PP10-3	GM8-4	25/03/2024	F	forsmani	DSC_124-DSC_125
PP11-2	GM8-6	25/03/2024	M	forsmani	DSC_134-DSC_135
PP11-3	GM8-6	25/03/2024	M	forsmani	DSC_136-DSC_137
PP13-3	GM5-3	27/03/2024	M	forsmani	DSC_164-DSC_165
PP14-2	GM6-1	27/03/2024	M	forsmani	DSC_170-DSC_171
PP16-2	GM6-6	27/03/2024	M	forsmani	DSC_197-DSC_198
PP16-5	GM6-6	27/03/2024	M	forsmani	DSC_203-DSC_204
PP21-2	GM9-3	27/03/2024	M	forsmani	DSC_276-DSC_277
PP22-2	GM9-4	27/03/2024	M	forsmani	DSC_284-DSC_285
PP22-4	GM9-4	27/03/2024	M	forsmani	DSC_288-DSC_290
PP23-2	GM1-4	29/03/2024	M	forsmani	DSC_297-DSC_298
PP24-2	GM1-5	29/03/2024	M	forsmani	DSC_313-DSC_314
PP26-3	GM3-3	29/03/2024	M	forsmani	DSC_346-DSC_347
PP29-6	GM7-6	29/03/2024	M	forsmani	DSC_388-DSC_389
PP30-4	GM4-2	02/04/2024	F	forsmani	DSC_415-DSC_413
PP30-6	GM4-2	02/04/2024	F	forsmani	DSC_416-DSC_417
PP31-3	GM8-5	02/04/2024	F	forsmani	DSC_428-DSC_429
PP31-4	GM8-5	02/04/2024	F	forsmani	DSC_430-DSC_431
PP32-1	GM9-2	02/04/2024	F	forsmani	DSC_446-DSC_447
PP32-2	GM9-2	02/04/2024	F	forsmani	DSC_448-DSC_449
PP33-5	GM3-4	05/04/2024	F	forsmani	DSC_471-DSC_472
PP33-6	GM3-4	05/04/2024	F	forsmani	DSC_473-DSC_475
PP34-3	GM2-2	05/04/2024	M	forsmani	DSC_484-DSC_485
PP34-6	GM2-2	05/04/2024	M	forsmani	DSC_488-DSC_489
PP35-1	GM4-1	05/04/2024	M	forsmani	DSC_506-DSC_507
PP35-5	GM4-1	05/04/2024	M	forsmani	DSC_510-DSC_511
PP36-2	GM4-4	05/04/2024	F	forsmani	DSC_518-DSC_520
