ID_DNA_RAD	Label	Alcool_ID	Mother_ID	Isolation_date	Death_date	Sex	Phenotype	P7.very.large.ep	P7.larg.ep	P7.med.ep	P7.small.ep	P7.ep.dist.very.large	P7.ep.dist.large	P7.ep.dist.medium	P7.ep.dist.small	P7.ep	P6.very.large.ep	P6.larg.ep	P6.med.ep	P6.small.ep	P6.ep.dist.very.large	P6.ep.dist.large	P6.ep.dist.medium	P6.ep.dist.small	P6.carp.curv.setae	P6.ep	P5.very.large.ep	P5.large.ep	P5.medium.ep	P5.small.ep	P5.ep.dist	P5.ep	P5.prop.curv.setae	P5.carp.curv.setae	P5.merus.curv.setae	P5.isch.curv.setae	P5.curv.setae	P4.small.ep	P4.prop.curv.setae	P4.carp.curv.setae	P4.merus.curv.setae	P4.isch.curv.setae	P4.curv.setae	P3.prop.curv.setae	P3.carp.curv.setae	P3.merus.curv.setae	P3.isch.curv.setae	P3.curv.setae	P2.prop.curv.setae	P2.carp.curv.setae	P2.merus.curv.setae	P2.isch.curv.setae	P2.curv.setae	P1.prop.curv.setae	P1.carp.curv.setae	P1.merus.curv.setae	P1.isch.curv.setae	P1.curv.setae	Photo_ID	Size	Note	Extracted	Family_level	P7.ep.mid	nb_tot_juv_brood1	nb_juv_brood1	nb_tot_juv_brood2	nb_juv_brood2	Name_offsprings_brood1	Name_offsprings_brood2	Species
E4970	O1-1	4970	M5-1	14/06/2024	13/08/2024	M	praehirsuta	0	1	1	0	0	0	1	0	3	0	0	0	0	0	0	1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	15	>40	0	0	55	12	>35	10	0	57	11	30	10	1	52	11	24	8	0	43	DSC_0967	2,162		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	praehirsuta
E4972	O1-3	4972	M5-1	14/06/2024	13/08/2024	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DSC_0970	3,197		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	praehirsuta
E4973	O1-4	4973	M5-1	14/06/2024	13/08/2024	M	praehirsuta	0	1	0	0	0	0	0	1	2	0	0	0	1	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	13	>40	0	0	53	16	>40	12	0	68	12	32	7	0	51	11	25	10	0	46	DSC_0971-DSC_0972	2,041		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	praehirsuta
E4974	O2-1	4974	M9-6	14/06/2024	13/08/2024	M	forsmani	0	1	1	0	0	0	1	0	3	0	2	0	0	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSC_0973	2,344	Slightly bent on the photo	TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
E4975r1	O2-3	4975	M9-6	14/06/2024	13/08/2024	M	forsmani	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSC_0974-DSC_0975	1,967		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
E4975r20	O2-3	4975	M9-6	14/06/2024	13/08/2024	M	forsmani	0	2	0	0	0	0	0	0	2	0	1	0	1	0	0	0	0	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSC_0974-DSC_0975	1,967		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
E4976	O2-4	4976	M9-6	14/06/2024	13/08/2024	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DSC_0976	2,569		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
E4979	O3-3	4979	M4-1	17/06/2024	15/08/2024	M	forsmani	0	1	1	0	0	0	0	1	3	0	1	0	0	0	0	0	1	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	DSC_0982	2,442	Slightly bent on the photo	TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
E4981	O3-5	4981	M4-1	17/06/2024	15/08/2024	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DSC_0984	2,744		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
E4982	O3-6	4982	M4-1	17/06/2024	15/08/2024	F	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	DSC_0985	2,799		TRUE	offspring	NA	NA	NA	NA	NA	NA	NA	forsmani
